year,violence_conflict_death_rate_world
1626,82.72826
1627,84.4366
1628,84.8914
1629,84.898834
1630,51.328255
1631,52.032883
1632,52.61852
1633,52.53925
1634,52.447857
1635,54.507317
1636,54.58548
1637,56.310738
1638,55.865574
1639,54.260723
1640,54.160385
1641,54.126953
1642,54.182213
1643,54.11298
1644,62.648487
1645,63.306244
1646,63.171776
1647,61.35332
1648,80.81887
1649,27.330309
1650,9.558849
1651,13.140872
1652,15.413695
1653,14.952912
1654,12.704262
1655,10.3691635
1656,11.093576
1657,14.576984
1658,13.12661
1659,12.204291
1660,11.447558
1661,12.065802
1662,11.6743765
1663,4.2361083
1664,5.8578253
1665,6.867841
1666,5.5457144
1667,4.3906302
1668,1.5423433
1669,1.3645701
1670,1.3294076
1671,1.1131384
1672,11.672213
1673,11.639911
1674,8.908896
1675,7.8972235
1676,7.701539
1677,8.097467
1678,8.300497
1679,1.0429554
1680,0.6564645
1681,0.66666853
1682,0.24576461
1683,4.5726733
1684,4.3711686
1685,3.9243603
1686,3.9302254
1687,4.2792377
1688,13.853231
1689,14.233591
1690,13.8281355
1691,13.799251
1692,13.77044
1693,14.071815
1694,14.048167
1695,14.560664
1696,15.6491165
1697,15.623528
1698,4.834531
1699,4.6875935
1700,7.0058284
1701,20.623457
1702,20.670635
1703,21.412153
1704,21.328514
1705,21.271978
1706,21.18938
1707,23.328262
1708,23.270826
1709,20.861128
1710,20.809381
1711,21.065414
1712,19.825212
1713,19.720814
1714,21.078838
1715,7.7233353
1716,9.293605
1717,10.294705
1718,11.848539
1719,6.925037
1720,6.820405
1721,5.688139
1722,0.35356468
1723,0.3375808
1724,0.039292216
1725,0.024474896
1726,0.014635628
1727,0.03403551
1728,0.02907599
1729,0.09342816
1730,0.083490826
1731,0.09269186
1732,0.038159724
1733,4.2279205
1734,4.2182617
1735,4.2086897
1736,10.660722
1737,7.324175
1738,7.2823677
1739,8.001309
1740,7.188497
1741,7.6127377
1742,7.5538993
1743,6.3979864
1744,7.1562347
1745,7.292516
1746,5.3128886
1747,5.1270976
1748,5.052875
1749,0.05940866
1750,0.06759072
1751,0.05873815
1752,0.06697585
1753,0.07090577
1754,0.07177138
1755,43.74246
1756,59.739796
1757,59.474632
1758,16.105495
1759,16.077
1760,15.980541
1761,15.900006
1762,15.85061
1763,16.206211
1764,0.4716728
1765,0.88233054
1766,0.6011798
1767,0.5943152
1768,1.4005456
1769,1.3899273
1770,1.2037933
1771,3.2395117
1772,3.1831124
1773,3.1681347
1774,6.695162
1775,3.8612125
1776,2.9083903
1777,0.57638586
1778,1.0720906
1779,1.0705714
1780,1.2867978
1781,1.3509074
1782,1.3483772
1783,1.3114368
1784,0.21801892
1785,0.13080019
1786,1.9908965
1787,3.4923124
1788,8.342968
1789,9.294086
1790,8.534872
1791,22.849768
1792,29.390188
1793,30.463177
1794,30.231308
1795,29.79859
1796,29.386572
1797,26.937166
1798,38.784557
1799,36.564148
1800,34.442867
1801,33.51929
1802,32.66496
1803,44.110043
1804,45.60647
1805,45.162804
1806,63.343956
1807,49.400997
1808,49.57516
1809,63.46478
1810,52.39587
1811,45.638027
1812,67.781555
1813,74.32031
1814,74.36268
1815,41.97637
1816,6.5192957
1817,1.6237363
1818,9.409943
1819,5.771334
1820,3.3426147
1821,6.27454
1822,3.4455616
1823,3.1969042
1824,3.047259
1825,4.134913
1826,8.707428
1827,5.482192
1828,10.9711075
1829,9.719834
1830,4.1758246
1831,2.95803
1832,2.3317451
1833,2.1398447
1834,3.2555418
1835,0.8062356
1836,1.1485122
1837,1.3222425
1838,1.7790946
1839,3.7225723
1840,3.7109964
1841,2.3261185
1842,1.7517142
1843,2.2141654
1844,1.0748242
1845,2.1335218
1846,2.2126508
1847,3.2433617
1848,10.056927
1849,8.789575
1850,12.248955
1851,12.538953
1852,12.965324
1853,28.235874
1854,28.081482
1855,27.877077
1856,28.118046
1857,13.669555
